Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Ofav_SYBR1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-05 19:55:56 PM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOISE,NOSIGNAL
A1,NTC,Ofav,NTC,SYBR,None,Undetermined,,,,,,0,0.1,1,3,39,,N,N,N,N
A2,+,D,UNKNOWN,SYBR,None,25.3027763367,25.3319015503,0.0411879234,,,,0,0.1,1,3,22,,N,N,N,N
A3,Sample 1,Ofav,UNKNOWN,SYBR,None,22.574426651,22.7584571838,0.260258466,,,,0,0.1,1,3,19,,N,N,N,N
A4,Sample 1,D,UNKNOWN,SYBR,None,26.1242294312,26.1071243286,0.024188919,,,,0,0.1,1,3,22,,N,N,N,N
A5,Sample 1,Ofav,UNKNOWN,SYBR,None,22.9424877167,22.7584571838,0.260258466,,,,0,0.1,1,3,19,,N,N,N,N
A6,Sample 1,D,UNKNOWN,SYBR,None,26.0900211334,26.1071243286,0.024188919,,,,0,0.1,1,3,22,,N,N,N,N
A7,Sample 9,Ofav,UNKNOWN,SYBR,None,25.2706947327,25.4369773865,0.2351605296,,,,0,0.1,1,3,21,,N,N,N,N
A8,Sample 9,D,UNKNOWN,SYBR,None,26.9090328217,27.110748291,0.2852700949,,,,0,0.1,1,3,23,,N,N,N,N
A9,Sample 9,Ofav,UNKNOWN,SYBR,None,25.6032619476,25.4369773865,0.2351605296,,,,0,0.1,1,3,22,,N,N,N,N
A10,Sample 9,D,UNKNOWN,SYBR,None,27.3124656677,27.110748291,0.2852700949,,,,0,0.1,1,3,23,,N,N,N,N
A11,+,Ofav,UNKNOWN,SYBR,None,23.6351070404,23.6772117615,0.0595464148,,,,0,0.1,1,3,20,,N,N,N,N
