Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Ofav_SYBR_3.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-05 21:46:44 PM EST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
A1,NTC,D,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.1,1,3,39,,N,Y
A2,+,Ofav,UNKNOWN,SYBR,None,24.1862640381,24.0787811279,0.1520037949,,,,0,0.1,1,3,20,,N,N
A3,Sample 1,D,UNKNOWN,SYBR,None,24.1478729248,24.0455245972,0.1447437406,,,,0,0.1,1,3,20,,N,N
A4,Sample 1,Ofav,UNKNOWN,SYBR,None,25.176202774,24.9044761658,0.3842808008,,,,0,0.1,1,3,22,,N,N
A5,Sample 1,D,UNKNOWN,SYBR,None,23.9431743622,24.0455245972,0.1447437406,,,,0,0.1,1,3,19,,N,N
A6,Sample 1,Ofav,UNKNOWN,SYBR,None,24.6327476501,24.9044761658,0.3842808008,,,,0,0.1,1,3,21,,N,N
A7,Sample 9,D,UNKNOWN,SYBR,None,23.8671894073,24.1904754639,0.4571955204,,,,0,0.1,1,3,20,,N,N
A8,Sample 9,Ofav,UNKNOWN,SYBR,None,22.7994403839,22.8529052734,0.0756121203,,,,0,0.1,1,3,19,,N,N
A9,Sample 9,D,UNKNOWN,SYBR,None,24.5137615204,24.1904754639,0.4571955204,,,,0,0.1,1,3,21,,N,N
A10,Sample 9,Ofav,UNKNOWN,SYBR,None,22.9063720703,22.8529052734,0.0756121203,,,,0,0.1,1,3,19,,N,N
A11,+,D,UNKNOWN,SYBR,None,26.1736087799,25.8864059448,0.4061647952,,,,0,0.1,1,3,23,,N,N
A12,NTC,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.1,1,3,39,,N,Y
B1,Sample 2,D,UNKNOWN,SYBR,None,24.9501686096,24.9131622314,0.0523335747,,,,0,0.1,1,3,21,,N,N
B2,Sample 2,Ofav,UNKNOWN,SYBR,None,25.9852867126,25.8362617493,0.2107517719,,,,0,0.1,1,3,22,,N,N
